 65.57	4685	4685	U	0	unclassified
 34.43	2460	84	R	1	root
 33.11	2366	0	R1	131567	  cellular organisms
 33.00	2358	24	D	2	    Bacteria
 25.43	1817	9	D1	1783272	      Terrabacteria group
 20.64	1475	54	P	1239	        Firmicutes
 16.43	1174	0	C	186801	          Clostridia
 16.43	1174	67	O	186802	            Eubacteriales
  8.38	599	60	F	186803	              Lachnospiraceae
  2.24	160	49	G	572511	                Blautia
  0.90	64	64	S	1737424	                  Blautia massiliensis
  0.32	23	0	G1	2648079	                  unclassified Blautia
  0.31	22	22	S	2479767	                    Blautia sp. SC05B48
  0.01	1	1	S	2877527	                    Blautia sp. NBRC 113351
  0.27	19	0	S	40520	                  Blautia obeum
  0.27	19	19	S1	657314	                    Blautia obeum A2-162
  0.03	2	2	S	33035	                  Blautia producta
  0.03	2	2	S	2779518	                  Blautia liquoris
  0.01	1	1	S	1912897	                  Blautia argi
  0.98	70	6	G	33042	                Coprococcus
  0.57	41	41	S	410072	                  Coprococcus comes
  0.22	16	16	S	116085	                  Coprococcus catus
  0.06	4	0	S	33043	                  Coprococcus eutactus
  0.06	4	4	S1	411474	                    Coprococcus eutactus ATCC 27759
  0.04	3	0	G1	2684943	                  unclassified Coprococcus
  0.04	3	3	S	751585	                    Coprococcus sp. ART55/1
  0.87	62	0	G	2569097	                Anaerobutyricum
  0.87	62	62	S	39488	                  Anaerobutyricum hallii
  0.85	61	0	G	2316020	                Mediterraneibacter
  0.48	34	0	S	33039	                  [Ruminococcus] torques
  0.48	34	34	S1	657313	                    [Ruminococcus] torques L2-14
  0.38	27	25	S	33038	                  [Ruminococcus] gnavus
  0.03	2	2	S1	411470	                    [Ruminococcus] gnavus ATCC 29149
  0.84	60	0	G	189330	                Dorea
  0.84	60	60	S	88431	                  Dorea longicatena
  0.64	46	0	G	207244	                Anaerostipes
  0.64	46	46	S	649756	                  Anaerostipes hadrus
  0.62	44	5	G	841	                Roseburia
  0.31	22	14	S	166486	                  Roseburia intestinalis
  0.06	4	4	S1	657315	                    Roseburia intestinalis M50/1
  0.03	2	2	S1	536231	                    Roseburia intestinalis L1-82
  0.03	2	2	S1	718255	                    Roseburia intestinalis XB6B4
  0.18	13	13	S	301301	                  Roseburia hominis
  0.06	4	0	G1	2637578	                  unclassified Roseburia
  0.06	4	4	S	2763062	                    Roseburia sp. NSJ-69
  0.13	9	0	G	2944193	                Simiaoa
  0.13	9	9	S	2763672	                  Simiaoa sunii
  0.11	8	0	G	28050	                Lachnospira
  0.11	8	8	S	39485	                  Lachnospira eligens
  0.10	7	0	G	1506553	                Lachnoclostridium
  0.07	5	5	S	29347	                  [Clostridium] scindens
  0.01	1	0	S	66219	                  Lachnoclostridium phytofermentans
  0.01	1	1	S1	357809	                    Lachnoclostridium phytofermentans ISDg
  0.01	1	1	S	89153	                  [Clostridium] hylemonae
  0.06	4	0	G	2719313	                Enterocloster
  0.04	3	3	S	1531	                  Enterocloster clostridioformis
  0.01	1	1	S	208479	                  Enterocloster bolteae
  0.04	3	0	G	2005359	                Faecalicatena
  0.04	3	0	G1	2635385	                  unclassified Faecalicatena
  0.04	3	3	S	2823316	                    Faecalicatena sp. Marseille-Q4148
  0.01	1	0	G	2944198	                Wansuia
  0.01	1	1	S	2763667	                  Wansuia hejianensis
  0.01	1	0	G	830	                Butyrivibrio
  0.01	1	1	S	831	                  Butyrivibrio fibrisolvens
  0.01	1	0	G	2888809	                Novisyntrophococcus
  0.01	1	1	S	2068655	                  Novisyntrophococcus fermenticellae
  0.01	1	0	G	1769710	                Sellimonas
  0.01	1	1	S	1653434	                  Sellimonas intestinalis
  0.01	1	0	G	46205	                Pseudobutyrivibrio
  0.01	1	1	S	185007	                  Pseudobutyrivibrio xylanivorans
  6.86	490	13	F	216572	              Oscillospiraceae
  5.74	410	192	G	216851	                Faecalibacterium
  1.83	131	103	S	853	                  Faecalibacterium prausnitzii
  0.21	15	15	S1	718252	                    Faecalibacterium prausnitzii L2-6
  0.18	13	13	S1	657322	                    Faecalibacterium prausnitzii SL3/3
  1.13	81	10	G1	2646395	                  unclassified Faecalibacterium
  0.21	15	15	S	2929491	                    Faecalibacterium sp. HTFF
  0.20	14	14	S	2929495	                    Faecalibacterium sp. I4384
