 70.58	8221	8221	U	0	unclassified
 29.42	3427	235	R	1	root
 27.34	3184	0	R1	131567	  cellular organisms
 27.31	3181	62	D	2	    Bacteria
 16.49	1921	130	P	1224	      Proteobacteria
 10.22	1190	30	C	28216	        Betaproteobacteria
  9.62	1120	79	O	80840	          Burkholderiales
  8.46	985	186	F	80864	            Comamonadaceae
  3.88	452	77	G	12916	              Acidovorax
  1.84	214	24	G1	2684926	                unclassified Acidovorax
  0.63	73	73	S	1858609	                  Acidovorax sp. T1
  0.29	34	34	S	358220	                  Acidovorax sp. KKS102
  0.24	28	28	S	2518343	                  Acidovorax sp. JMULE5
  0.19	22	22	S	2478662	                  Acidovorax sp. 1608163
  0.18	21	21	S	1842533	                  Acidovorax sp. RAC01
  0.06	7	7	S	2714923	                  Acidovorax sp. HDW3
  0.04	5	5	S	2738413	                  Acidovorax sp. YS12
  1.13	132	132	S	553814	                Acidovorax carolinensis
  0.09	10	10	S	758826	                Acidovorax radicis
  0.07	8	8	S	1926868	                Acidovorax monticola
  0.04	5	5	S	2743470	                Acidovorax antarcticus
  0.03	4	0	S	80867	                Acidovorax avenae
  0.03	4	4	S1	80870	                  Acidovorax avenae subsp. avenae
  0.02	2	2	S	80868	                Acidovorax cattleyae
  0.66	77	18	G	283	              Comamonas
  0.15	17	3	G1	2638500	                unclassified Comamonas
  0.04	5	5	S	2853257	                  Comamonas sp. Y33R10-2
  0.03	4	4	S	2918299	                  Comamonas sp. B21-038
  0.03	3	3	S	2853163	                  Comamonas sp. NLF-1-9
  0.02	2	2	S	2966554	                  Comamonas sp. C11
  0.13	15	15	S	225991	                Comamonas aquatica
  0.08	9	9	S	2796366	                Comamonas fluminis
  0.06	7	7	S	285	                Comamonas testosteroni
  0.03	3	3	S	1082851	                Comamonas serinivorans
  0.02	2	2	S	225992	                Comamonas kerstersii
  0.02	2	2	S	363952	                Comamonas thiooxydans
  0.02	2	2	S	379895	                Comamonas odontotermitis
  0.01	1	1	S	160825	                Comamonas koreensis
  0.01	1	1	S	1562974	                Comamonas piscis
  0.48	56	12	G	238749	              Diaphorobacter
  0.29	34	5	G1	2649760	                unclassified Diaphorobacter
  0.14	16	16	S	2714924	                  Diaphorobacter sp. HDW4A
  0.08	9	9	S	2792224	                  Diaphorobacter sp. JS3051
  0.03	3	3	S	2735554	                  Diaphorobacter sp. JS3050
  0.01	1	1	S	2714925	                  Diaphorobacter sp. HDW4B
  0.04	5	5	S	1715720	                Diaphorobacter ruginosibacter
  0.02	2	2	S	721785	                [Acidovorax] ebreus
  0.02	2	2	S	1288495	                Diaphorobacter aerolatus
  0.01	1	1	S	164759	                Diaphorobacter nitroreducens
  0.33	39	2	G	28065	              Rhodoferax
  0.11	13	0	G1	2627954	                unclassified Rhodoferax
  0.05	6	6	S	2752316	                  Rhodoferax sp. AJA081-3
  0.03	4	4	S	2798804	                  Rhodoferax sp. MIZ03
  0.03	3	3	S	2822760	                  Rhodoferax sp. PAMC 29310
  0.05	6	6	S	1842727	                Rhodoferax koreense
  0.04	5	5	S	81479	                Rhodoferax antarcticus
  0.04	5	5	S	2509614	                Rhodoferax sediminis
  0.03	3	0	S	192843	                Rhodoferax ferrireducens
  0.03	3	3	S1	338969	                  Rhodoferax ferrireducens T118
  0.03	3	3	S	2527691	                Rhodoferax aquaticus
  0.02	2	2	S	1484693	                Rhodoferax saidenbachensis
  0.33	39	14	G	34072	              Variovorax
  0.13	15	2	G1	663243	                unclassified Variovorax
  0.02	2	2	S	207745	                  Variovorax sp. WDL1
  0.02	2	2	S	434009	                  Variovorax sp. PBL-H6
  0.02	2	2	S	2774875	                  Variovorax sp. 38R
  0.02	2	2	S	2762322	                  Variovorax sp. PAMC26660
  0.02	2	2	S	1795631	                  Variovorax sp. PAMC 28711
  0.01	1	1	S	434008	                  Variovorax sp. PBS-H4
  0.01	1	1	S	662548	                  Variovorax sp. RA8
  0.01	1	1	S	2762323	                  Variovorax sp. PAMC28562
  0.08	9	6	S	34073	                Variovorax paradoxus
  0.02	2	2	S1	595537	                  Variovorax paradoxus EPS
  0.01	1	1	S1	1246301	                  Variovorax paradoxus B4
  0.01	1	1	S	436515	                Variovorax boronicumulans
  0.25	29	4	G	47420	              Hydrogenophaga
  0.16	19	3	G1	2610897	                unclassified Hydrogenophaga
  0.03	4	4	S	1842537	                  Hydrogenophaga sp. RAC07
  0.03	3	3	S	434010	                  Hydrogenophaga sp. PBL-H3
  0.02	2	2	S	2184519	                  Hydrogenophaga sp. NH-16
